2026-05-10 15:58:02.625230,Neutral,80.28%
2026-05-10 15:58:02.868806,Neutral,69.64%
2026-05-10 15:58:03.106478,Neutral,69.53%
2026-05-10 15:58:03.316117,Neutral,67.68%
2026-05-10 15:58:03.523975,Neutral,68.59%
2026-05-10 15:58:03.836220,Neutral,66.63%
2026-05-10 15:58:04.099203,Neutral,69.01%
2026-05-10 15:58:04.435261,Neutral,68.86%
2026-05-10 15:58:04.681041,Neutral,70.24%
2026-05-10 15:58:04.922324,Neutral,70.27%
2026-05-10 15:58:05.285040,Neutral,71.67%
2026-05-10 15:58:05.569567,Neutral,69.53%
2026-05-10 15:58:06.411893,Neutral,72.57%
2026-05-10 15:58:06.658625,Neutral,72.87%
2026-05-10 15:58:06.920046,Neutral,76.35%
2026-05-10 15:58:07.310833,Neutral,77.18%
2026-05-10 15:58:07.560887,Neutral,77.45%
2026-05-10 15:58:07.849070,Neutral,78.05%
2026-05-10 15:58:08.083727,Neutral,71.46%
2026-05-10 15:58:08.388420,Neutral,74.82%
2026-05-10 15:58:08.613819,Neutral,77.70%
2026-05-10 15:58:08.810744,Neutral,72.31%
2026-05-10 15:58:09.014732,Neutral,77.41%
2026-05-10 15:58:09.233732,Neutral,77.29%
2026-05-10 15:58:09.516412,Neutral,73.63%
2026-05-10 15:58:10.418678,Neutral,71.67%
2026-05-10 15:58:10.853979,Neutral,80.95%
2026-05-10 15:58:11.133748,Neutral,80.15%
2026-05-10 15:58:11.351455,Neutral,81.53%
2026-05-10 15:58:11.581534,Neutral,78.94%
2026-05-10 15:58:11.806940,Neutral,80.33%
2026-05-10 15:58:12.029573,Neutral,77.45%
2026-05-10 15:58:12.280110,Neutral,76.55%
2026-05-10 15:58:12.565616,Neutral,69.36%
2026-05-10 15:58:12.824584,Neutral,75.63%
2026-05-10 15:58:13.139002,Neutral,79.15%
2026-05-10 15:58:13.419733,Neutral,75.56%
2026-05-10 15:58:13.677131,Neutral,75.27%
2026-05-10 15:58:13.969474,Neutral,72.03%
2026-05-10 15:58:14.252750,Neutral,72.35%
2026-05-10 15:58:14.522843,Neutral,73.98%
2026-05-10 15:58:14.729408,Neutral,74.08%
2026-05-10 15:58:14.973745,Neutral,73.08%
2026-05-10 15:58:15.236463,Neutral,75.35%
2026-05-10 15:58:15.475665,Neutral,71.83%
2026-05-10 15:58:15.794247,Neutral,73.57%
2026-05-10 15:58:16.067717,Neutral,72.02%
2026-05-10 15:58:16.329696,Neutral,73.15%
2026-05-10 15:58:16.641866,Neutral,68.49%
2026-05-10 15:58:16.943492,Neutral,69.07%
2026-05-10 15:58:17.210666,Neutral,69.37%
2026-05-10 15:58:17.436686,Neutral,64.36%
2026-05-10 15:58:17.718361,Neutral,58.39%
2026-05-10 15:58:17.990376,Neutral,57.23%
2026-05-10 15:58:18.268675,Neutral,52.75%
2026-05-10 15:58:18.517551,Neutral,55.06%
2026-05-10 15:58:18.756673,Neutral,60.38%
2026-05-10 15:58:18.966025,Neutral,49.51%
2026-05-10 15:58:19.214516,Neutral,53.12%
2026-05-10 15:58:19.421325,Neutral,50.47%
2026-05-10 15:58:19.728312,Neutral,49.72%
2026-05-10 15:58:19.940185,Neutral,49.63%
2026-05-10 15:58:20.161665,Neutral,68.12%
2026-05-10 15:58:20.406974,Neutral,59.96%
2026-05-10 15:58:20.620467,Neutral,46.09%
2026-05-10 15:58:20.857553,Neutral,53.96%
2026-05-10 15:58:21.129503,Neutral,57.59%
2026-05-10 15:58:21.396591,Neutral,69.74%
2026-05-10 15:58:21.641123,Neutral,70.30%
2026-05-10 15:58:21.909727,Neutral,69.08%
2026-05-10 15:58:22.270088,Neutral,69.89%
2026-05-10 15:58:22.630078,Neutral,69.94%
2026-05-10 15:58:22.841965,Neutral,66.78%
2026-05-10 15:58:23.056025,Neutral,71.28%
2026-05-10 15:58:23.300551,Neutral,73.32%
2026-05-10 15:58:23.590157,Sad,39.78%
2026-05-10 15:58:23.813655,Neutral,44.08%
2026-05-10 15:58:24.063598,Neutral,71.43%
2026-05-10 15:58:24.264522,Neutral,72.20%
2026-05-10 15:58:24.532583,Neutral,82.31%
2026-05-10 15:58:24.778662,Neutral,77.33%
2026-05-10 15:58:25.041904,Neutral,76.93%
2026-05-10 15:58:25.275928,Neutral,77.58%
2026-05-10 15:58:25.539137,Neutral,78.96%
2026-05-10 15:58:25.759567,Happy,94.99%
2026-05-10 15:58:25.954849,Happy,96.06%
2026-05-10 15:58:26.308262,Happy,95.50%
2026-05-10 15:58:26.625048,Happy,97.03%
2026-05-10 15:58:26.887178,Happy,96.16%
2026-05-10 15:58:27.078325,Happy,97.12%
2026-05-10 15:58:27.353477,Happy,93.16%
2026-05-10 15:58:27.568336,Happy,96.65%
2026-05-10 15:58:27.753883,Happy,96.41%
2026-05-10 15:58:28.007371,Happy,96.86%
2026-05-10 15:58:28.318136,Happy,97.21%
2026-05-10 15:58:28.531668,Happy,95.62%
2026-05-10 15:58:29.231701,Happy,95.30%
2026-05-10 15:58:29.534069,Happy,96.95%
2026-05-10 15:58:29.777279,Happy,96.63%
2026-05-10 15:58:29.979917,Happy,95.83%
2026-05-10 15:58:30.214269,Happy,96.48%
2026-05-10 15:58:30.438997,Happy,96.78%
2026-05-10 15:58:30.653425,Happy,97.56%
2026-05-10 15:58:30.913397,Happy,96.51%
2026-05-10 15:58:31.165113,Happy,92.56%
2026-05-10 15:58:31.420882,Happy,80.43%
2026-05-10 15:58:31.635889,Happy,46.38%
2026-05-10 15:58:31.853472,Neutral,51.03%
2026-05-10 15:58:32.057981,Neutral,59.52%
2026-05-10 15:58:32.280784,Neutral,68.35%
2026-05-10 15:58:32.564887,Neutral,71.80%
2026-05-10 15:58:32.832526,Neutral,58.21%
2026-05-10 15:58:33.062969,Neutral,55.19%
2026-05-10 15:58:33.320121,Neutral,63.30%
2026-05-10 15:58:33.552666,Neutral,67.99%
2026-05-10 15:58:33.754303,Neutral,53.15%
2026-05-10 15:58:34.026750,Neutral,51.17%
2026-05-10 15:58:34.238841,Neutral,51.01%
2026-05-10 15:58:34.500881,Neutral,48.61%
2026-05-10 15:58:34.770601,Neutral,38.18%
2026-05-10 15:58:35.016644,Happy,85.19%
2026-05-10 15:58:35.331331,Happy,84.15%
2026-05-10 15:58:35.591923,Happy,87.40%
2026-05-10 15:58:35.805900,Happy,83.20%
2026-05-10 15:58:36.072173,Happy,85.13%
2026-05-10 15:58:36.364752,Happy,82.67%
2026-05-10 15:58:36.587398,Happy,79.67%
2026-05-10 15:58:36.807982,Happy,83.17%
2026-05-10 15:58:37.088937,Happy,73.90%
2026-05-10 15:58:37.314403,Happy,69.99%
2026-05-10 15:58:37.507428,Happy,64.77%
2026-05-10 15:58:37.689455,Happy,62.09%
2026-05-10 15:58:37.936002,Happy,80.50%
2026-05-10 15:58:38.183131,Neutral,43.33%
2026-05-10 15:58:38.455959,Happy,52.03%
2026-05-10 15:58:38.759916,Happy,33.74%
2026-05-10 15:58:39.062335,Happy,46.15%
2026-05-10 15:58:39.295673,Neutral,45.71%
2026-05-10 15:58:39.497814,Neutral,39.35%
2026-05-10 15:58:39.738270,Neutral,37.25%
2026-05-10 15:58:39.955477,Neutral,53.77%
2026-05-10 15:58:40.196575,Neutral,41.75%
2026-05-10 15:58:40.405875,Neutral,52.58%
2026-05-10 15:58:40.640718,Neutral,64.84%
2026-05-10 15:58:40.852708,Neutral,36.64%
2026-05-10 15:58:41.100296,Neutral,60.70%
2026-05-10 15:58:41.361776,Neutral,66.52%
2026-05-10 15:58:41.592681,Neutral,65.70%
2026-05-10 15:58:41.832922,Neutral,62.09%
2026-05-10 15:58:42.048037,Neutral,68.38%
2026-05-10 15:58:42.748585,Neutral,65.02%
2026-05-10 15:58:42.937650,Neutral,62.88%
2026-05-10 15:58:43.123363,Neutral,66.62%
2026-05-10 15:58:43.397553,Neutral,63.17%
2026-05-10 15:58:43.612022,Neutral,64.70%
2026-05-10 15:58:43.836633,Neutral,54.99%
2026-05-10 15:58:44.041589,Neutral,66.66%
2026-05-10 15:58:44.235975,Neutral,63.10%
2026-05-10 15:58:44.447647,Neutral,61.10%
2026-05-10 15:58:44.689959,Neutral,60.68%
2026-05-10 15:58:44.895596,Neutral,65.82%
2026-05-10 15:58:45.127369,Neutral,61.45%
2026-05-10 15:58:45.378994,Neutral,67.53%
2026-05-10 15:58:45.632102,Neutral,62.77%
2026-05-10 15:58:45.892485,Neutral,58.93%
2026-05-10 15:58:46.090381,Neutral,65.30%
2026-05-10 15:58:46.283251,Neutral,65.29%
2026-05-10 15:58:46.478409,Neutral,55.74%
2026-05-10 15:58:46.673380,Neutral,61.02%
2026-05-10 15:58:46.918111,Neutral,47.23%
2026-05-10 15:58:47.136285,Sad,38.06%
2026-05-10 15:58:47.835733,Neutral,39.19%
2026-05-10 15:58:48.069018,Sad,32.53%
2026-05-10 15:58:48.340950,Sad,34.14%
2026-05-10 15:58:48.609101,Happy,33.02%
2026-05-10 15:58:48.794184,Neutral,43.80%
2026-05-10 15:58:49.087554,Sad,39.34%
2026-05-10 15:58:49.272998,Sad,52.12%
2026-05-10 15:58:49.650274,Sad,43.22%
2026-05-10 15:58:49.854308,Sad,49.67%
2026-05-10 15:58:50.089042,Sad,38.41%
2026-05-10 15:58:50.295805,Neutral,48.68%
2026-05-10 15:58:50.531785,Neutral,38.16%
2026-05-10 15:58:50.734837,Neutral,54.12%
2026-05-10 15:58:51.005931,Neutral,63.68%
