2026-05-10 15:38:34.119978,Happy,38.95%
2026-05-10 15:38:36.420853,Happy,98.72%
2026-05-10 15:41:21.480206,Neutral,79.49%
2026-05-10 15:41:31.171042,Surprise,53.07%
2026-05-10 15:41:51.189611,Happy,95.02%
2026-05-10 15:41:56.500928,Neutral,62.37%
2026-05-10 15:42:01.312769,Neutral,66.18%
2026-05-10 15:42:04.217691,Neutral,70.01%
2026-05-10 15:42:14.931235,Neutral,48.08%
2026-05-10 15:42:32.716338,Neutral,44.48%
2026-05-10 15:42:35.271318,Neutral,54.47%
2026-05-10 15:42:35.572649,Happy,93.08%
2026-05-10 15:42:38.429517,Happy,95.69%
2026-05-10 15:42:53.207237,Happy,87.47%
2026-05-10 15:42:56.703717,Happy,81.46%
2026-05-10 15:42:58.087440,Neutral,81.52%
2026-05-10 15:42:59.839466,Neutral,64.46%
2026-05-10 15:44:45.374076,Neutral,42.96%
2026-05-10 15:44:47.537701,Neutral,41.40%
2026-05-10 15:44:47.879792,Neutral,68.90%
2026-05-10 15:44:48.196515,Neutral,63.10%
2026-05-10 15:44:48.502999,Neutral,65.77%
2026-05-10 15:44:48.800891,Neutral,67.71%
2026-05-10 15:44:49.101688,Neutral,64.75%
2026-05-10 15:44:49.412934,Neutral,62.23%
2026-05-10 15:44:49.598535,Neutral,62.47%
2026-05-10 15:44:49.789042,Neutral,61.73%
2026-05-10 15:44:50.043880,Neutral,65.20%
2026-05-10 15:44:50.277074,Neutral,64.39%
2026-05-10 15:44:50.684453,Neutral,57.07%
2026-05-10 15:44:51.047722,Neutral,53.01%
2026-05-10 15:44:51.307521,Neutral,47.92%
2026-05-10 15:44:51.544769,Neutral,52.27%
2026-05-10 15:44:51.812814,Neutral,51.81%
2026-05-10 15:44:52.084113,Neutral,37.79%
2026-05-10 15:44:52.324787,Neutral,49.40%
2026-05-10 15:44:52.624769,Neutral,61.80%
2026-05-10 15:44:52.826978,Neutral,48.69%
2026-05-10 15:44:53.032549,Neutral,42.07%
2026-05-10 15:44:53.299992,Neutral,57.64%
2026-05-10 15:44:53.586312,Neutral,53.16%
2026-05-10 15:44:53.838503,Neutral,72.13%
2026-05-10 15:44:54.099648,Neutral,73.95%
2026-05-10 15:44:54.346531,Neutral,73.99%
2026-05-10 15:44:54.614271,Neutral,77.13%
2026-05-10 15:44:54.937255,Neutral,78.80%
2026-05-10 15:44:55.154751,Neutral,65.51%
2026-05-10 15:44:55.385784,Neutral,50.67%
2026-05-10 15:44:55.626971,Neutral,56.54%
2026-05-10 15:44:55.871256,Neutral,61.26%
2026-05-10 15:44:56.089796,Neutral,58.84%
2026-05-10 15:44:56.485951,Neutral,62.28%
2026-05-10 15:44:56.747163,Neutral,37.16%
2026-05-10 15:44:56.968373,Neutral,57.22%
2026-05-10 15:44:57.223429,Neutral,68.27%
2026-05-10 15:44:57.464945,Neutral,66.76%
2026-05-10 15:44:57.671860,Neutral,63.40%
2026-05-10 15:44:57.917327,Neutral,71.85%
2026-05-10 15:44:58.154435,Neutral,67.44%
2026-05-10 15:44:58.376541,Neutral,62.42%
2026-05-10 15:44:58.568455,Neutral,75.61%
2026-05-10 15:44:58.797805,Neutral,63.41%
2026-05-10 15:44:59.080337,Neutral,66.52%
2026-05-10 15:44:59.384879,Neutral,57.77%
2026-05-10 15:44:59.637171,Neutral,59.38%
2026-05-10 15:44:59.846792,Neutral,55.95%
2026-05-10 15:45:00.061774,Neutral,40.86%
2026-05-10 15:45:00.287484,Neutral,66.91%
2026-05-10 15:45:00.553941,Neutral,52.47%
2026-05-10 15:45:00.806802,Neutral,72.17%
2026-05-10 15:45:01.099425,Neutral,67.04%
2026-05-10 15:45:01.349845,Neutral,57.18%
2026-05-10 15:45:01.580276,Neutral,44.55%
2026-05-10 15:45:01.840669,Surprise,49.03%
2026-05-10 15:45:02.535854,Surprise,71.37%
2026-05-10 15:45:02.765877,Surprise,56.53%
2026-05-10 15:45:03.031369,Neutral,41.30%
2026-05-10 15:45:03.288011,Neutral,53.67%
2026-05-10 15:45:03.485276,Neutral,44.53%
2026-05-10 15:45:03.693411,Neutral,49.61%
2026-05-10 15:45:03.920672,Neutral,61.24%
2026-05-10 15:45:04.147806,Neutral,64.73%
2026-05-10 15:45:04.439743,Neutral,54.00%
2026-05-10 15:45:04.690929,Happy,77.13%
2026-05-10 15:45:04.905796,Happy,95.94%
2026-05-10 15:45:05.487902,Happy,96.71%
2026-05-10 15:45:05.716774,Happy,96.97%
2026-05-10 15:45:05.926680,Happy,96.45%
2026-05-10 15:45:06.158808,Happy,96.01%
2026-05-10 15:45:06.432476,Happy,96.01%
2026-05-10 15:45:06.720909,Happy,96.98%
2026-05-10 15:45:06.938573,Happy,97.41%
2026-05-10 15:45:07.585576,Happy,95.94%
2026-05-10 15:45:07.848128,Happy,96.40%
2026-05-10 15:45:08.124726,Happy,95.71%
2026-05-10 15:45:08.382168,Happy,96.68%
2026-05-10 15:45:08.664529,Happy,96.75%
2026-05-10 15:45:08.890436,Happy,94.97%
2026-05-10 15:45:09.122114,Happy,97.14%
2026-05-10 15:45:09.301396,Happy,95.59%
2026-05-10 15:45:09.551892,Happy,91.08%
2026-05-10 15:45:09.772931,Happy,91.91%
2026-05-10 15:45:10.014221,Happy,90.94%
2026-05-10 15:45:10.258638,Happy,50.84%
2026-05-10 15:45:10.514708,Happy,67.96%
2026-05-10 15:45:10.787090,Neutral,71.87%
2026-05-10 15:45:10.993686,Neutral,77.75%
2026-05-10 15:45:11.407180,Neutral,74.33%
2026-05-10 15:45:11.605612,Neutral,68.12%
2026-05-10 15:45:11.806950,Neutral,67.76%
2026-05-10 15:45:12.020148,Neutral,61.49%
2026-05-10 15:45:12.665861,Neutral,56.45%
2026-05-10 15:45:12.856662,Neutral,60.64%
2026-05-10 15:45:13.057468,Neutral,48.66%
2026-05-10 15:45:13.303711,Neutral,55.50%
2026-05-10 15:45:13.483009,Neutral,59.69%
2026-05-10 15:45:13.811130,Neutral,60.56%
2026-05-10 15:45:14.062225,Neutral,58.70%
2026-05-10 15:45:14.300172,Neutral,67.54%
2026-05-10 15:45:14.494941,Neutral,67.52%
2026-05-10 15:45:14.716028,Neutral,69.12%
2026-05-10 15:45:14.919219,Neutral,71.27%
2026-05-10 15:45:15.155687,Neutral,68.60%
2026-05-10 15:45:15.461789,Happy,84.97%
2026-05-10 15:45:15.734683,Happy,92.70%
2026-05-10 15:45:15.914443,Happy,93.94%
2026-05-10 15:45:16.110447,Happy,91.79%
2026-05-10 15:45:16.396796,Happy,95.73%
2026-05-10 15:45:16.671832,Happy,92.06%
2026-05-10 15:45:16.911589,Happy,90.86%
2026-05-10 15:45:17.137327,Happy,84.66%
2026-05-10 15:45:17.773001,Happy,91.45%
2026-05-10 15:45:18.030460,Happy,82.92%
2026-05-10 15:45:18.323870,Happy,88.49%
2026-05-10 15:45:18.513459,Happy,82.00%
2026-05-10 15:45:18.710157,Happy,64.42%
2026-05-10 15:45:18.916212,Happy,45.12%
2026-05-10 15:45:19.138652,Neutral,60.59%
2026-05-10 15:45:19.375982,Neutral,61.19%
2026-05-10 15:45:19.630710,Happy,47.38%
2026-05-10 15:45:19.850000,Neutral,72.26%
2026-05-10 15:45:20.127979,Neutral,65.91%
2026-05-10 15:45:20.343656,Neutral,74.56%
2026-05-10 15:45:20.550276,Neutral,65.76%
2026-05-10 15:45:20.762898,Neutral,78.10%
2026-05-10 15:45:21.040722,Neutral,67.72%
2026-05-10 15:45:21.294540,Neutral,81.56%
2026-05-10 15:45:21.519095,Neutral,81.96%
2026-05-10 15:45:21.741548,Neutral,72.06%
2026-05-10 15:45:21.975640,Neutral,71.69%
2026-05-10 15:45:22.207330,Neutral,78.17%
2026-05-10 15:45:22.893469,Neutral,79.13%
2026-05-10 15:45:23.115264,Neutral,75.06%
2026-05-10 15:45:23.488768,Neutral,76.58%
2026-05-10 15:45:23.726903,Neutral,79.77%
2026-05-10 15:45:23.988140,Neutral,78.74%
2026-05-10 15:45:24.174211,Neutral,78.07%
2026-05-10 15:45:24.371589,Neutral,79.08%
2026-05-10 15:45:24.589918,Neutral,77.89%
2026-05-10 15:45:24.814679,Neutral,80.30%
2026-05-10 15:45:25.034543,Neutral,80.73%
2026-05-10 15:45:25.311280,Neutral,79.25%
2026-05-10 15:45:25.564081,Neutral,70.35%
2026-05-10 15:45:25.821755,Neutral,36.94%
2026-05-10 15:45:26.068560,Neutral,42.07%
2026-05-10 15:45:26.265638,Happy,87.51%
2026-05-10 15:45:26.486649,Happy,26.24%
2026-05-10 15:45:26.806977,Neutral,52.38%
2026-05-10 15:45:27.015852,Happy,50.50%
2026-05-10 15:45:27.227429,Neutral,55.79%
2026-05-10 15:45:27.442969,Neutral,53.61%
2026-05-10 15:45:27.634470,Neutral,41.93%
